DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY, WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE
01/Jul/2024,GARUDA,JAKARTA,MANADO,GA-0606,3,"  23,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,30192,4343,1532,51890
01/Jul/2024,GARUDA,JAKARTA,ACEH,GA-0140,9,"  82,00 ",PT BAYA SKENA MENYALA,BSM,DTD,25752,4343,1210,33580
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0882,33,"  384,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,9324,4343,2809,20200
01/Jul/2024,GARUDA,JAKARTA,PALANGKARAYA,GA-0554,8,"  85,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,11322,4343,1199,25020
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0340,5,"  93,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0944,14,"  294,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10545,4343,2280,11050
01/Jul/2024,CITILINK,JAKARTA,KENDARI,QG-0330,24,"  200,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,20424,4343,1665,38850
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0916,37,"  345,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,9324,4343,2809,20200
01/Jul/2024,CITILINK,JAKARTA,BENGKULU,QG-0990,1,"  23,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9213,4343,0,9120
01/Jul/2024,CITILINK,JAKARTA,MANADO,QG-0300,4,"  46,00 ",PT DINDA SETIA KIRANA,DSK,PTP,27972,4343,1532,37500
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0340,7,"  135,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13653,4343,1594,34800
01/Jul/2024,CITILINK,JAKARTA,PALU,QG-0324,8,"  112,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,19203,4343,1499,30450
